Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0500          -6.9539      -7.1514       0.1974  1527.5
0.1000          -7.0342      -7.2205       0.1862  1440.7
0.1500          -7.0602      -7.2225       0.1623  1256.0
0.2000          -7.1564      -7.3186       0.1622  1254.6
0.2500          -7.0968      -7.2865       0.1897  1467.9
0.3000          -7.0659      -7.2490       0.1831  1416.2
0.3500          -6.9377      -7.2300       0.2923  2261.4
0.4000          -7.1293      -7.2565       0.1272   984.4
0.4500          -7.0897      -7.2747       0.1850  1431.3
0.5000          -7.1022      -7.3030       0.2008  1553.6
0.5500          -7.0549      -7.1994       0.1445  1117.6
0.6000          -7.1424      -7.2611       0.1187   918.6
0.6500          -7.1382      -7.2826       0.1444  1117.4
0.7000          -7.1883      -7.2935       0.1053   814.3
0.7500          -7.0466      -7.1845       0.1379  1066.9
0.8000          -7.1478      -7.2874       0.1396  1079.7
0.8500          -7.0813      -7.2048       0.1235   955.4
0.9000          -7.1083      -7.2542       0.1458  1128.3
0.9500          -7.0514      -7.2112       0.1597  1235.7
1.0000          -7.0545      -7.2464       0.1919  1484.3
1.0500          -6.8987      -7.1695       0.2708  2095.2
1.1000          -7.0918      -7.2707       0.1789  1384.1
1.1500          -7.0766      -7.2548       0.1782  1378.6
1.2000          -7.1109      -7.2722       0.1613  1247.8
1.2500          -7.0741      -7.2582       0.1841  1423.9
1.3000          -7.0803      -7.2395       0.1592  1231.3
1.3500          -6.9842      -7.1599       0.1757  1359.3
1.4000          -7.1186      -7.2801       0.1615  1249.1
1.4500          -7.1766      -7.2970       0.1204   931.4
1.5000          -7.0467      -7.2134       0.1667  1289.9
1.5500          -7.0545      -7.2518       0.1973  1526.4
1.6000          -7.1113      -7.2646       0.1533  1185.7
1.6500          -7.0999      -7.2530       0.1531  1184.3
1.7000          -7.0577      -7.2110       0.1533  1185.7
1.7500          -7.0172      -7.1833       0.1661  1285.1
1.8000          -7.0230      -7.2049       0.1819  1407.6
1.8500          -6.9911      -7.2319       0.2408  1863.0
1.9000          -6.9872      -7.2506       0.2633  2037.2
1.9500          -6.8976      -7.2224       0.3248  2512.9
2.0000          -6.9882      -7.2691       0.2809  2173.4
2.0500          -7.0624      -7.2717       0.2093  1618.9
2.1000          -7.0840      -7.2597       0.1757  1359.3
2.1500          -7.0196      -7.1523       0.1327  1026.7
2.2000          -7.0950      -7.2181       0.1231   952.2
2.2500          -7.0938      -7.2243       0.1305  1009.9
2.3000          -7.0983      -7.2468       0.1485  1148.5
2.3500          -6.9853      -7.2172       0.2319  1793.7
2.4000          -6.9834      -7.2480       0.2645  2046.6
2.4500          -7.0747      -7.2904       0.2157  1668.6
2.5000          -7.0512      -7.3080       0.2567  1986.3
2.5500          -7.0050      -7.2141       0.2092  1618.2
2.6000          -7.0860      -7.2458       0.1598  1236.3
2.6500          -6.9829      -7.1716       0.1887  1459.7
2.7000          -7.0850      -7.2301       0.1451  1122.2
2.7500          -7.0636      -7.2538       0.1902  1471.5
2.8000          -7.1199      -7.2577       0.1377  1065.5
2.8500          -7.0332      -7.2320       0.1988  1537.9
2.9000          -7.1231      -7.2515       0.1284   993.0
2.9500          -7.0585      -7.2504       0.1919  1484.9
3.0000          -7.1452      -7.2933       0.1480  1145.2
3.0500          -7.0520      -7.2327       0.1808  1398.5
3.1000          -7.0565      -7.2564       0.1999  1546.8
3.1500          -7.0343      -7.2122       0.1779  1376.2
3.2000          -7.1732      -7.3096       0.1364  1055.1
3.2500          -7.0134      -7.1480       0.1346  1041.6
3.3000          -7.0380      -7.2410       0.2031  1571.1
3.3500          -7.0478      -7.2560       0.2082  1611.0
3.4000          -7.0106      -7.2779       0.2673  2067.8
3.4500          -7.0766      -7.2402       0.1636  1265.7
3.5000          -7.1107      -7.2810       0.1702  1316.9
3.5500          -7.0677      -7.2413       0.1736  1342.8
3.6000          -7.0666      -7.2505       0.1839  1422.5
3.6500          -7.0862      -7.2810       0.1948  1507.3
3.7000          -7.1087      -7.2660       0.1573  1216.6
3.7500          -7.0475      -7.1917       0.1441  1115.1
3.8000          -7.1298      -7.3194       0.1895  1466.2
3.8500          -7.0871      -7.2431       0.1561  1207.4
3.9000          -7.0518      -7.2478       0.1960  1516.3
3.9500          -6.9945      -7.2407       0.2462  1904.8
4.0000          -7.1303      -7.2982       0.1679  1298.8
4.0500          -7.0445      -7.2335       0.1890  1461.9
4.1000          -7.1173      -7.2605       0.1432  1107.5
4.1500          -7.1703      -7.2975       0.1272   983.7
4.2000          -7.0529      -7.1942       0.1413  1093.3
4.2500          -6.9740      -7.1843       0.2103  1627.2
4.3000          -7.1676      -7.2822       0.1146   886.5
4.3500          -7.1392      -7.2426       0.1034   800.1
4.4000          -7.0105      -7.2092       0.1987  1537.6
4.4500          -6.9899      -7.2602       0.2703  2091.1
4.5000          -7.0595      -7.3003       0.2407  1862.5
4.5500          -7.0934      -7.2803       0.1869  1445.8
4.6000          -7.0597      -7.2202       0.1605  1241.8
4.6500          -7.1168      -7.2646       0.1477  1143.0
4.7000          -7.0487      -7.2442       0.1954  1512.1
4.7500          -7.0178      -7.2237       0.2059  1593.0
4.8000          -7.0342      -7.2135       0.1793  1387.1
4.8500          -7.0869      -7.2904       0.2035  1574.2
4.9000          -7.0153      -7.2312       0.2159  1670.2
4.9500          -7.1549      -7.2905       0.1356  1048.9
5.0000          -7.0277      -7.2299       0.2022  1564.6
5.0500          -7.0569      -7.1978       0.1409  1090.1
5.1000          -7.0981      -7.2325       0.1344  1039.7
5.1500          -7.1060      -7.2584       0.1524  1179.4
5.2000          -7.0746      -7.2521       0.1775  1373.2
5.2500          -7.0539      -7.1757       0.1218   942.0
5.3000          -7.0536      -7.2556       0.2020  1562.4
5.3500          -7.1416      -7.3109       0.1693  1309.8
5.4000          -7.0906      -7.2366       0.1461  1130.0
5.4500          -7.0228      -7.2446       0.2218  1715.8
5.5000          -6.9204      -7.2255       0.3051  2360.6
5.5500          -6.9724      -7.1720       0.1996  1544.0
5.6000          -7.0406      -7.2445       0.2039  1577.5
5.6500          -7.0517      -7.2426       0.1909  1476.6
5.7000          -7.0560      -7.2674       0.2115  1635.9
5.7500          -6.9347      -7.2467       0.3120  2413.8
5.8000          -6.9505      -7.1807       0.2302  1780.7
5.8500          -7.1421      -7.2838       0.1418  1096.7
5.9000          -7.0697      -7.1947       0.1250   966.7
5.9500          -7.0815      -7.2356       0.1541  1192.4
6.0000          -7.0817      -7.2830       0.2013  1557.5
6.0500          -6.9885      -7.2564       0.2679  2072.9
6.1000          -7.0788      -7.2513       0.1725  1334.3
6.1500          -7.1067      -7.2665       0.1597  1235.8
6.2000          -6.9455      -7.2061       0.2606  2016.0
6.2500          -7.0852      -7.3072       0.2220  1717.5
6.3000          -7.1236      -7.2610       0.1374  1063.1
6.3500          -7.1303      -7.2628       0.1325  1024.9
6.4000          -7.0643      -7.2139       0.1496  1157.2
6.4500          -7.0008      -7.1635       0.1627  1258.9
6.5000          -7.0213      -7.1908       0.1696  1311.9
6.5500          -6.9295      -7.2246       0.2952  2283.4
6.6000          -6.9900      -7.1967       0.2067  1599.1
6.6500          -7.0835      -7.2593       0.1758  1360.3
6.7000          -7.0288      -7.2117       0.1829  1414.8
6.7500          -7.0327      -7.2354       0.2027  1568.1
6.8000          -7.0494      -7.2380       0.1886  1459.1
6.8500          -7.1149      -7.2676       0.1527  1181.5
6.9000          -7.1561      -7.2859       0.1298  1004.1
6.9500          -7.0956      -7.2448       0.1493  1154.7
7.0000          -7.0997      -7.2116       0.1119   865.6
7.0500          -7.1805      -7.2998       0.1193   922.8
7.1000          -7.0605      -7.1973       0.1368  1058.4
7.1500          -6.9410      -7.1921       0.2511  1942.9
7.2000          -6.9892      -7.2146       0.2255  1744.2
7.2500          -7.0334      -7.1707       0.1373  1062.1
7.3000          -7.1025      -7.2766       0.1741  1346.9
7.3500          -7.1154      -7.2784       0.1630  1260.9
